RUN,2017-01-28,Ran 5.0km in 0:30:00,15
RUN,2017-01-30,Ran 5.0km in 0:30:00,15
RUN,2017-01-31,Ran 5.0km in 0:30:00,15
RUN,2017-02-02,Ran 5.0km in 0:30:00,15
RUN,2017-02-03,Ran 5.0km in 0:30:00,15
RUN,2017-02-04,Ran 5.0km in 0:30:00,15
RUN,2017-02-05,Ran 5.0km in 0:30:00,15
RUN,2017-02-06,Ran 5.0km in 0:30:00,15
RUN,2017-02-11,Ran 5.2km in 0:30:00,15
RUN,2017-02-12,Ran 5.2km in 0:30:00,15
RUN,2017-02-13,Ran 5.2km in 0:30:00,15
RUN,2017-02-14,Ran 5.2km in 0:30:00,15
RUN,2017-02-15,Ran 5.2km in 0:30:00,15
RUN,2017-02-16,Ran 5.2km in 0:30:00,15
RUN,2017-02-20,Ran 5.2km in 0:30:00,15
RUN,2017-02-26,Ran 5.3km in 0:30:00,15
RUN,2017-02-27,Ran 5.3km in 0:30:00,15
RUN,2017-02-28,Ran 5.3km in 0:30:00,15
RUN,2017-03-04,Ran 4.1km in 0:23:12,14
RUN,2017-03-05,Ran 5.0km in 0:30:00,15
RUN,2017-03-06,Ran 5.5km in 0:30:00,15
RUN,2017-03-07,Ran 5.0km in 0:30:00,15
RUN,2017-03-11,Ran 10.8km in 1:01:31,20
RUN,2017-03-12,Ran 5.1km in 0:28:21,15
RUN,2017-03-13,Ran 5.0km in 0:30:00,15
RUN,2017-03-14,Ran 5.5km in 0:31:21,15
RUN,2017-03-18,Ran 5.0km in 0:30:00,15
RUN,2017-03-19,Ran 13.5km in 1:22:08,23
RUN,2017-03-20,Ran 4.5km in 0:30:00,14
RUN,2017-03-21,Ran 5.0km in 0:30:00,15
RUN,2017-03-23,Ran 5.0km in 0:30:00,15
RUN,2017-03-24,Ran 5.0km in 0:30:00,15
RUN,2017-03-25,Ran 9.0km in 0:50:58,19
RUN,2017-03-26,Ran 15.0km in 1:26:19,25
RUN,2017-03-27,Ran 5.0km in 0:28:52,15
RUN,2017-03-28,Ran 5.0km in 0:30:00,15
RUN,2017-03-30,Ran 4.5km in 0:30:00,14
RUN,2017-03-31,Ran 4.5km in 0:30:00,14
RUN,2017-04-02,Ran 12.0km in 1:09:57,22
RUN,2017-04-03,Ran 5.5km in 0:30:00,15
RUN,2017-04-04,Ran 5.0km in 0:30:00,15
RUN,2017-04-06,Ran 9.5km in 0:56:20,19
RUN,2017-04-07,Ran 5.0km in 0:30:59,15
RUN,2017-04-08,Ran 20.0km in 1:59:37,30
RUN,2017-04-11,Ran 6.0km in 0:33:36,16
RUN,2017-04-17,Ran 24.0km in 2:19:19,34
RUN,2017-04-22,Ran 18.0km in 1:50:00,28
RUN,2017-04-26,Ran 5.2km in 0:30:02,15
RACE,2017-04-29,Ran Sentrumslopet 10k in 0:49:29,75
RUN,2017-04-30,Ran 4.0km in 0:24:00,14
RUN,2017-05-04,Ran 9.6km in 0:55:19,19
RUN,2017-05-05,Ran 5.0km in 0:29:27,15
RUN,2017-05-07,Ran 24.0km in 2:32:53,34
RUN,2017-05-08,Ran 5.0km in 0:27:51,15
RUN,2017-05-09,Ran 5.0km in 0:30:00,15
RUN,2017-05-11,Ran 5.4km in 0:30:00,15
RUN,2017-05-12,Ran 5.0km in 0:28:54,15
RUN,2017-05-13,Ran 26.0km in 2:27:09,36
RUN,2017-05-16,Ran 5.0km in 0:30:00,15
RUN,2017-05-18,Ran 5.0km in 0:30:00,15
RUN,2017-05-19,Ran 5.0km in 0:27:31,15
RUN,2017-05-20,Ran 28.0km in 2:45:13,38
RUN,2017-05-21,Ran 9.3km in 0:56:13,19
RUN,2017-05-22,Ran 9.8km in 0:56:15,19
RUN,2017-05-25,Ran 9.5km in 0:58:00,19
